BID,BID_SIZE,ASK,ASK_SIZE,DAILY_CHANGE,DAILY_CHANGE_PERCENT,LAST_PRICE,VOLUME,HIGH,LOW,TIMESTAMP,TIMESTAMP_CONVERTED
61367,7.59254404,61368,6.50485767,-1322,-0.02108789,61368,1208.95088466,64800,60715,1714483020,2024-04-30 16:47:00
61367,7.59254404,61368,6.50485767,-1322,-0.02108789,61368,1208.95088466,64800,60715,1714483022,2024-04-30 16:47:02
61367,7.59254404,61368,6.50485767,-1322,-0.02108789,61368,1208.95088466,64800,60715,1714483024,2024-04-30 16:47:04
61377,9.59801892,61378,6.4054497,-1322,-0.02108789,61368,1208.99599192,64800,60715,1714483027,2024-04-30 16:47:07
61377,9.59801892,61378,6.4054497,-1322,-0.02108789,61368,1208.99599192,64800,60715,1714483029,2024-04-30 16:47:09
61377,9.59801892,61378,6.4054497,-1322,-0.02108789,61368,1208.99599192,64800,60715,1714483031,2024-04-30 16:47:11
61377,9.59801892,61378,6.4054497,-1322,-0.02108789,61368,1208.99599192,64800,60715,1714483033,2024-04-30 16:47:13
61377,9.59801892,61378,6.4054497,-1322,-0.02108789,61368,1208.99599192,64800,60715,1714483035,2024-04-30 16:47:15
61377,9.59801892,61378,6.4054497,-1322,-0.02108789,61368,1208.99599192,64800,60715,1714483037,2024-04-30 16:47:17
61377,9.59801892,61378,6.4054497,-1322,-0.02108789,61368,1208.99599192,64800,60715,1714483040,2024-04-30 16:47:20
61377,9.59801892,61378,6.4054497,-1322,-0.02108789,61368,1208.99599192,64800,60715,1714483042,2024-04-30 16:47:22
61377,9.59801892,61378,6.4054497,-1322,-0.02108789,61368,1208.99599192,64800,60715,1714483044,2024-04-30 16:47:24
61377,9.59801892,61378,6.4054497,-1322,-0.02108789,61368,1208.99599192,64800,60715,1714483046,2024-04-30 16:47:26
61361,7.52433605,61363,5.78915411,-1329,-0.02119955,61361,1209.3084567,64800,60715,1714483048,2024-04-30 16:47:28
61361,7.52433605,61363,5.78915411,-1329,-0.02119955,61361,1209.3084567,64800,60715,1714483050,2024-04-30 16:47:30
61361,7.52433605,61363,5.78915411,-1329,-0.02119955,61361,1209.3084567,64800,60715,1714483053,2024-04-30 16:47:33
61361,7.52433605,61363,5.78915411,-1329,-0.02119955,61361,1209.3084567,64800,60715,1714483055,2024-04-30 16:47:35
61361,7.52433605,61363,5.78915411,-1329,-0.02119955,61361,1209.3084567,64800,60715,1714483057,2024-04-30 16:47:37
61349,6.99995861,61351,5.05514842,-1328,-0.0211836,61362,1209.3084567,64800,60715,1714483059,2024-04-30 16:47:39
61349,6.99995861,61351,5.05514842,-1328,-0.0211836,61362,1209.3084567,64800,60715,1714483061,2024-04-30 16:47:41
61349,6.99995861,61351,5.05514842,-1328,-0.0211836,61362,1209.3084567,64800,60715,1714483063,2024-04-30 16:47:43
61349,6.99995861,61351,5.05514842,-1328,-0.0211836,61362,1209.3084567,64800,60715,1714483065,2024-04-30 16:47:45
61349,6.99995861,61351,5.05514842,-1328,-0.0211836,61362,1209.3084567,64800,60715,1714483067,2024-04-30 16:47:47
61349,6.99995861,61351,5.05514842,-1328,-0.0211836,61362,1209.3084567,64800,60715,1714483069,2024-04-30 16:47:49
61309,5.45718561,61310,6.05911087,-1366,-0.02178976,61324,1209.79959724,64800,60715,1714483071,2024-04-30 16:47:51
61309,5.45718561,61310,6.05911087,-1366,-0.02178976,61324,1209.79959724,64800,60715,1714483074,2024-04-30 16:47:54
61309,5.45718561,61310,6.05911087,-1366,-0.02178976,61324,1209.79959724,64800,60715,1714483076,2024-04-30 16:47:56
61309,5.45718561,61310,6.05911087,-1366,-0.02178976,61324,1209.79959724,64800,60715,1714483078,2024-04-30 16:47:58
61309,5.45718561,61310,6.05911087,-1366,-0.02178976,61324,1209.79959724,64800,60715,1714483080,2024-04-30 16:48:00
61309,5.45718561,61310,6.05911087,-1366,-0.02178976,61324,1209.79959724,64800,60715,1714483082,2024-04-30 16:48:02
61309,5.45718561,61310,6.05911087,-1366,-0.02178976,61324,1209.79959724,64800,60715,1714483084,2024-04-30 16:48:04
61309,5.45718561,61310,6.05911087,-1366,-0.02178976,61324,1209.79959724,64800,60715,1714483086,2024-04-30 16:48:06
61309,5.45718561,61310,6.05911087,-1366,-0.02178976,61324,1209.79959724,64800,60715,1714483088,2024-04-30 16:48:08
61309,5.45718561,61310,6.05911087,-1366,-0.02178976,61324,1209.79959724,64800,60715,1714483090,2024-04-30 16:48:10
61309,5.45718561,61310,6.05911087,-1366,-0.02178976,61324,1209.79959724,64800,60715,1714483093,2024-04-30 16:48:13
61310,5.49082974,61315,4.89342729,-1366,-0.02178976,61324,1209.79959724,64800,60715,1714483097,2024-04-30 16:48:17
61310,5.49082974,61315,4.89342729,-1366,-0.02178976,61324,1209.79959724,64800,60715,1714483100,2024-04-30 16:48:20
61310,5.49082974,61315,4.89342729,-1366,-0.02178976,61324,1209.79959724,64800,60715,1714483102,2024-04-30 16:48:22
61310,5.49082974,61315,4.89342729,-1366,-0.02178976,61324,1209.79959724,64800,60715,1714483104,2024-04-30 16:48:24
61310,5.49082974,61315,4.89342729,-1366,-0.02178976,61324,1209.79959724,64800,60715,1714483106,2024-04-30 16:48:26
61305,4.76123627,61306,7.80736565,-1382,-0.02204498,61308,1210.03610774,64800,60715,1714483108,2024-04-30 16:48:28
61305,4.76123627,61306,7.80736565,-1382,-0.02204498,61308,1210.03610774,64800,60715,1714483110,2024-04-30 16:48:30
61305,4.76123627,61306,7.80736565,-1382,-0.02204498,61308,1210.03610774,64800,60715,1714483112,2024-04-30 16:48:32
61305,4.76123627,61306,7.80736565,-1382,-0.02204498,61308,1210.03610774,64800,60715,1714483115,2024-04-30 16:48:35
61305,4.76123627,61306,7.80736565,-1382,-0.02204498,61308,1210.03610774,64800,60715,1714483117,2024-04-30 16:48:37
61305,4.76123627,61306,7.80736565,-1382,-0.02204498,61308,1210.03610774,64800,60715,1714483119,2024-04-30 16:48:39
61305,4.76123627,61306,7.80736565,-1382,-0.02204498,61308,1210.03610774,64800,60715,1714483121,2024-04-30 16:48:41
61305,4.76123627,61306,7.80736565,-1382,-0.02204498,61308,1210.03610774,64800,60715,1714483123,2024-04-30 16:48:43
61305,4.76123627,61306,7.80736565,-1382,-0.02204498,61308,1210.03610774,64800,60715,1714483125,2024-04-30 16:48:45
61305,4.76123627,61306,7.80736565,-1382,-0.02204498,61308,1210.03610774,64800,60715,1714483127,2024-04-30 16:48:47
61305,4.76123627,61306,7.80736565,-1382,-0.02204498,61308,1210.03610774,64800,60715,1714483129,2024-04-30 16:48:49
61305,2.84004621,61306,9.00508843,-1384,-0.02207689,61306,1210.34494517,64800,60715,1714483131,2024-04-30 16:48:51
61305,2.84004621,61306,9.00508843,-1384,-0.02207689,61306,1210.34494517,64800,60715,1714483133,2024-04-30 16:48:53
61305,2.84004621,61306,9.00508843,-1384,-0.02207689,61306,1210.34494517,64800,60715,1714483136,2024-04-30 16:48:56
61305,2.84004621,61306,9.00508843,-1384,-0.02207689,61306,1210.34494517,64800,60715,1714483138,2024-04-30 16:48:58
